measurement_index,shaft_radius
0,0.02
1,0.02
2,0.02
3,0.02
4,0.02
5,0.02
6,0.02
7,0.02
8,0.02
9,0.02
10,0.02
11,0.02
12,0.02
13,0.019999836594991858
14,0.019999836594991858
15,0.019999836594991858
16,0.019999836594991858
17,0.019999836594991858
18,0.019999836594991858
19,0.019999836594991858
20,0.019999836594991858
21,0.019999836594991858
22,0.019999836594991858
23,0.019999836594991858
24,0.019998585086705774
25,0.019998585086705774
26,0.019998585086705774
27,0.019998585086705774
28,0.019998585086705774
29,0.019998585086705774
30,0.019998585086705774
31,0.019998585086705774
32,0.019998585086705774
33,0.019998585086705774
34,0.01999850843943503
35,0.01999850843943503
36,0.01999850843943503
37,0.01999850843943503
38,0.01999850843943503
39,0.01999850843943503
40,0.01999850843943503
41,0.01999850843943503
42,0.01999850843943503
43,0.01999850843943503
44,0.01999850843943503
45,0.01999850843943503
46,0.01999821049242733
47,0.01999821049242733
48,0.01999821049242733
49,0.01999821049242733
50,0.01999821049242733
51,0.01999821049242733
52,0.01999821049242733
53,0.01999821049242733
54,0.01999821049242733
55,0.01999821049242733
56,0.01999821049242733
57,0.01999821049242733
58,0.01999821049242733
59,0.019995979459903262
60,0.019995979459903262
61,0.019995979459903262
62,0.019995979459903262
63,0.019995979459903262
64,0.019995979459903262
65,0.019995979459903262
66,0.019995979459903262
67,0.019995979459903262
68,0.019995979459903262
69,0.019994202290059465
70,0.019994202290059465
71,0.019994202290059465
72,0.019994202290059465
73,0.019994202290059465
74,0.019994202290059465
75,0.019994202290059465
76,0.019994202290059465
77,0.019994202290059465
78,0.019994202290059465
79,0.019994202290059465
80,0.019994202290059465
81,0.019994202290059465
82,0.019992173586678288
83,0.019992173586678288
84,0.019992173586678288
85,0.019992173586678288
86,0.019992173586678288
87,0.019992173586678288
88,0.019992173586678288
89,0.019992173586678288
90,0.019992173586678288
91,0.019992173586678288
92,0.019992173586678288
93,0.019992173586678288
94,0.019992173586678288
95,0.019991145752656585
96,0.019991145752656585
97,0.019991145752656585
98,0.019991145752656585
99,0.019991145752656585
100,0.019991145752656585
101,0.019991145752656585
102,0.019991145752656585
103,0.019991145752656585
104,0.019991145752656585
105,0.019991145752656585
106,0.019991145752656585
107,0.01999019732284198
108,0.01999019732284198
109,0.01999019732284198
110,0.01999019732284198
111,0.01999019732284198
112,0.01999019732284198
113,0.01999019732284198
114,0.01999019732284198
115,0.01999019732284198
116,0.01999019732284198
117,0.01999019732284198
118,0.01999019732284198
119,0.01999019732284198
120,0.01999019732284198
121,0.01998987136505968
122,0.01998987136505968
123,0.01998987136505968
124,0.01998987136505968
125,0.01998987136505968
126,0.01998987136505968
127,0.01998987136505968
128,0.01998987136505968
129,0.01998987136505968
130,0.01998987136505968
131,0.019989571759419653
132,0.019989571759419653
133,0.019989571759419653
134,0.019989571759419653
135,0.019989571759419653
136,0.019989571759419653
137,0.019989571759419653
138,0.019989571759419653
139,0.019989571759419653
140,0.019989571759419653
141,0.019989571759419653
142,0.019989571759419653
143,0.019989571759419653
144,0.019989571759419653
145,0.019987994334011924
146,0.019987994334011924
147,0.019987994334011924
148,0.019987994334011924
149,0.019987994334011924
150,0.019987994334011924
151,0.019987994334011924
152,0.019987994334011924
153,0.019987994334011924
154,0.019987994334011924
155,0.019987994334011924
156,0.019987994334011924
157,0.019987043946670502
158,0.019987043946670502
159,0.019987043946670502
160,0.019987043946670502
161,0.019987043946670502
162,0.019987043946670502
163,0.019987043946670502
164,0.019987043946670502
165,0.019987043946670502
166,0.019987043946670502
167,0.019987043946670502
